Data,ETH,BNB,SOL,SUI,AVAX,TIA,MANTRA,NEAR,SEI,ARB,GMX,FLOKI,MANTA,FET,NOT,ATH,GALA,VENOM,FOXY,SHRAP,COREUM,ASTER,FITFI,UOS,BRISE,NATIX,SOIL,SENATE,MUBI,LUNC,TOKEN,GNS,RSR,WOO,AXS,L3,MORE,RIZ,LINGO,LUMIA,ZEUS,SIDUS,MLC,CARV,MXNA,0g,BLUAI,MANTRA.1,PUMP
22/09/2025,4452.8711,1040.32,239.91,,33.38,1.732,0.053225,3.172,0.3205,0.4953,16.12,9.752e-05,0.2172,0.644,0.001858,0.061679,0.01764315,0.140288,0.00227413,0.00371548,0.136112,1.55,0.00141079,0.03749525,6.1114e-08,0.00079952,0.175279,0.00731281,0.00331014,5.994e-05,0.013869,2.171,0.007376,0.07168,2.443,0.03471281,0.09077,0.00175971,0.02457818,0.334178,0.129393,0.0005909,0.496554,0.307517,0.00509279,,,,0.006084
23/09/2025,4199.95177,988.6,220.61,,32.88,1.498,0.043325,2.957,0.2888,0.4366,14.7,8.51e-05,0.1858,0.596,0.001623,0.060644,0.01521365,0.119497,0.00212153,0.00333259,0.136965,1.56,0.00121869,0.03309942,5.3341e-08,0.00077996,0.171608,0.00650202,0.00315387,5.565e-05,0.01201106,1.915,0.006198,0.06692,2.202,0.02992874,0.084938,0.00167839,0.02363959,0.289274,0.122286,0.00052882,0.46892,0.29364,0.00498922,,,,0.005739
24/09/2025,4166.1905,1015.23,216.72,,34.36,1.471,0.04225,3.006,0.2912,0.4342,16.5,8.555e-05,0.1869,0.592,0.001656,0.057639,0.0152989,0.124647,0.00210442,0.00323386,0.137016,2.05,0.00121944,0.03319044,5.415e-08,0.0007566,0.171247,0.00619549,0.00313923,5.57e-05,0.01197847,1.82,0.006029,0.065145,2.216,0.02984928,0.08553,0.00165637,0.02185725,0.293898,0.128983,0.0005333,0.434393,0.29228,0.00549361,,,,0.005822
25/09/2025,4148.6568,1015.89,214.02,,34.58,1.464,0.0434,3.074,0.2956,0.4352,18.08,8.621e-05,0.188,0.595,0.001646,0.06271,0.01542565,0.139855,0.00204775,0.00328669,0.136223,2.27,0.00121287,0.03297592,5.2855e-08,0.00074819,0.176058,0.00580751,0.00309215,5.558e-05,0.01221882,1.882,0.006029,0.066829,2.233,0.02929389,0.085081,0.0016578,0.02114798,0.300135,0.133851,0.00051322,0.475581,0.293883,0.00599682,5.12,,,0.005323
26/09/2025,3863.0633,960.05,195.63,,29.13,1.345,0.03915,2.788,0.2671,0.4018,16.02,7.878e-05,0.1694,0.556,0.001507,0.055794,0.01412657,0.133287,0.00167666,0.00291987,0.131423,1.85,0.00117809,0.03145697,4.7375e-08,0.00070762,0.16935,0.00419198,0.00278007,5.241e-05,0.01129932,1.717,0.005474,0.059192,2.034,0.02846907,0.078211,0.00165352,0.02035852,0.274318,0.124775,0.00047315,0.414394,0.27238,0.00740022,3.83,,,0.005125
27/09/2025,4037.0979,939.93,194.64,,27.3,1.393,0.0402,2.688,0.2743,0.413,16.1,8.132e-05,0.1726,0.565,0.00156,0.060958,0.01427896,0.136036,0.00170125,0.00296867,0.130298,1.91,0.0011444,0.03178697,4.7532e-08,0.00069169,0.165462,0.00355661,0.00277258,5.327e-05,0.01144488,1.771,0.005513,0.059596,2.08,0.02845372,0.074236,0.00158792,0.02020509,0.275121,0.114676,0.00048031,0.416758,0.269536,0.00645327,3.39,,,0.005127
28/09/2025,4018.1675,972.18,202.56,,28.73,1.402,0.041125,2.718,0.2792,0.4244,16.43,8.253e-05,0.1778,0.578,0.001573,0.061793,0.01458722,0.138195,0.00174975,0.0031167,0.129817,2.0,0.00150335,0.03168392,4.9358e-08,0.00069651,0.165744,0.00431687,0.00289365,5.467e-05,0.01171265,1.804,0.00555,0.061145,2.169,0.02888391,0.07477,0.00157932,0.02010814,0.280448,0.114026,0.00048538,0.43437,0.274634,0.00664852,3.97,,,0.005523
29/09/2025,4141.8397,972.57,199.88,,28.45,1.395,0.04125,2.689,0.2723,0.4148,15.88,8.021e-05,0.1742,0.566,0.001548,0.061615,0.01429356,0.139351,0.00174979,0.00302501,0.129588,1.74,0.00115954,0.03140776,4.9367e-08,0.00068256,0.161281,0.00411093,0.00286276,5.386e-05,0.01187421,1.771,0.005503,0.069281,2.101,0.02842579,0.076414,0.00160986,0.0202163,0.273626,0.104487,0.00049111,0.407073,0.268845,0.00749228,3.57,,,0.0057
30/09/2025,4215.6128,1028.13,214.25,,30.68,1.43,0.04205,2.811,0.2829,0.423,16.58,8.367e-05,0.1809,0.581,0.001554,0.056667,0.01474354,0.140156,0.00182242,0.00310515,0.125946,1.88,0.0011875,0.03141098,5.1047e-08,0.00067,0.156019,0.00432709,0.00298568,5.507e-05,0.01213201,1.9,0.005792,0.071172,2.172,0.02942697,0.078286,0.00161077,0.02041386,0.287102,0.102873,0.00055218,0.424079,0.265318,0.00802664,2.97,,,0.005747
01/10/2025,4144.2304,999.9,205.5,,28.96,1.346,0.040125,2.575,0.2689,0.4064,15.28,7.805e-05,0.1721,0.557,0.00147,0.0472785,0.01403185,0.134971,0.00173797,0.00297013,0.127222,1.75,0.00112855,0.0308757,4.8939e-08,0.00064997,0.150319,0.00426118,0.00279786,5.317e-05,0.01164169,1.794,0.005529,0.065221,2.04,0.02829888,0.075774,0.00157914,0.02020802,0.274779,0.10155,0.00054203,0.400124,0.242751,0.00945248,2.48,,,0.006518
02/10/2025,4343.9519,1022.5,219.18,,30.62,1.446,0.043725,2.825,0.2965,0.4351,15.64,8.494e-05,0.1862,0.592,0.001603,0.052306,0.01533394,0.135778,0.00177641,0.00309586,0.127096,1.53,0.0011847,0.03150687,5.0361e-08,0.00074151,0.157434,0.00462972,0.00272033,5.588e-05,0.01254764,1.917,0.00648,0.067293,2.224,0.02915297,0.070358,0.00157469,0.02024567,0.294917,0.112276,0.00058028,0.402724,0.258116,0.00837731,2.74,,,0.007015
03/10/2025,4484.0062,1074.41,232.51,,31.03,1.513,0.044425,2.95,0.3011,0.4557,15.81,8.88e-05,0.1956,0.614,0.00164,0.052055,0.01636505,0.135134,0.00187224,0.00324372,0.130022,1.44,0.00115336,0.03227221,5.3196e-08,0.00078382,0.148012,0.00488056,0.00294642,5.76e-05,0.01322515,1.977,0.006843,0.075783,2.296,0.03061279,0.070103,0.00158973,0.0202794,0.304404,0.119019,0.00057706,0.41503,0.263087,0.00951542,2.72,,,0.007132
04/10/2025,4515.7591,1090.52,233.04,,30.94,1.504,0.044275,2.972,0.2988,0.4509,15.63,8.75e-05,0.1934,0.606,0.001637,0.051436,0.01618533,0.134093,0.00186012,0.00330918,0.130023,1.83,0.00115038,0.03266665,5.3778e-08,0.00080066,0.1482,0.00496687,0.00294615,5.749e-05,0.01310589,1.967,0.006661,0.073526,2.277,0.03054706,0.070608,0.00159026,0.02031935,0.300163,0.118562,0.00059369,0.405242,0.262417,0.00960965,2.73,,,0.006693
05/10/2025,4487.7067,1147.58,227.72,,30.09,1.473,0.0426,2.927,0.2877,0.4325,15.32,0.00010327,0.1869,0.583,0.001595,0.052497,0.01576642,0.134752,0.00207339,0.00363878,0.122232,2.12,0.00116064,0.0295003,5.4353e-08,0.00079049,0.147157,0.00515,0.00286589,5.582e-05,0.0131231,1.849,0.006479,0.072487,2.202,0.03362483,0.070694,0.00164906,0.02028787,0.289329,0.113458,0.00057914,0.38956,0.262015,0.00933568,2.96,,,0.006754
06/10/2025,4515.3214,1158.4,230.26,,30.24,1.51,0.044225,3.022,0.2962,0.4442,15.21,0.00010249,0.1922,0.596,0.001619,0.054305,0.01604773,0.132028,0.0022914,0.00359857,0.120716,1.85,0.00117625,0.03149165,5.3114e-08,0.00077551,0.149345,0.00487281,0.00289857,5.624e-05,0.01326732,1.844,0.006493,0.071848,2.246,0.03298278,0.069788,0.00165293,0.02022962,0.291975,0.116613,0.00059042,0.384098,0.26629,0.00828167,2.98,,,0.006389
07/10/2025,4689.1317,1226.34,233.52,,30.65,1.551,0.044225,3.056,0.3031,0.4596,14.8,0.00010272,0.1981,0.588,0.001636,0.056847,0.01652884,0.133257,0.00233097,0.00354041,0.120961,2.08,0.00118589,0.03192218,5.457e-08,0.0007773,0.155268,0.00488519,0.00298269,5.651e-05,0.01358086,1.871,0.006527,0.074137,2.322,0.03232506,0.066192,0.00167705,0.02030906,0.291753,0.120878,0.00060067,0.411497,0.267991,0.01069014,3.06,,,0.006384
08/10/2025,4454.3285,1313.0,224.1,,28.42,1.478,0.042375,2.977,0.2911,0.4306,14.4,0.00010222,0.1835,0.562,0.00157,0.055439,0.01559224,0.133252,0.0022292,0.00357238,0.114336,2.11,0.00113609,0.03005511,5.479e-08,0.00075215,0.1501,0.00463649,0.00278589,5.4e-05,0.01295456,1.77,0.00602,0.069397,2.177,0.03136503,0.02921838,0.00201975,0.02044153,0.272963,0.117733,0.00056652,0.392847,0.253993,0.0119839,2.88,,,0.006138
09/10/2025,4527.578,1274.35,219.07,,27.97,1.435,0.0415,2.93,0.2817,0.4196,14.3,9.661e-05,0.1788,0.555,0.001533,0.052552,0.01518791,0.12883,0.00224735,0.00353312,0.111778,1.92,0.00112548,0.03056009,5.3838e-08,0.00075439,0.146465,0.00466986,0.00274097,5.301e-05,0.01255226,1.75,0.005922,0.066307,2.125,0.02991958,0.02295396,0.00202516,0.02093158,0.268345,0.117519,0.00056472,0.396391,0.248049,0.0136225,2.8,,,0.005728
10/10/2025,4368.6494,1246.91,218.66,,28.04,1.429,0.040225,2.852,0.2774,0.4146,13.76,9.304e-05,0.1792,0.493,0.001546,0.053616,0.01524419,0.128047,0.00202711,0.00338047,0.107117,1.68,0.00111519,0.02931734,4.9345e-08,0.00067982,0.135548,0.00454413,0.0026385,5.343e-05,0.01213519,1.684,0.005869,0.066638,2.185,0.02953883,0.03471566,0.00198268,0.02301034,0.259427,0.115485,0.00055858,0.448767,0.242381,0.00987445,2.55,,,0.00337
11/10/2025,3835.6328,1102.04,184.1,,22.4,0.988,0.0276,2.486,0.2226,0.3162,10.62,7.067e-05,0.1184,0.391,0.000988,0.04529383,0.01129497,0.117424,0.00152229,0.0025883,0.098792,1.36,0.00087671,0.02350571,4.2827e-08,0.00059997,0.119752,0.00287678,0.00203582,3.785e-05,0.00823909,1.361,0.004853,0.0434597,1.607,0.02322343,0.02499494,0.0018388,0.01905534,0.163593,0.086843,0.00044893,0.485325,0.201591,0.00893373,2.34,,,0.003941
12/10/2025,3749.2181,1104.22,184.71,,22.49,0.995,0.0278,2.498,0.2238,0.3179,10.69,7.129e-05,0.1193,0.393,0.000995,0.04537796,0.01134617,0.117427,0.00152281,0.00260069,0.098827,1.36,0.00087678,0.02352492,4.287e-08,0.00060012,0.119885,0.00287981,0.00203565,3.791e-05,0.00824858,1.363,0.004864,0.043699,1.616,0.02329415,0.02530185,0.0018388,0.0190569,0.163389,0.087026,0.00045025,0.485113,0.201429,0.00893373,2.34,,,0.004094
13/10/2025,4159.7293,1297.13,195.92,,22.93,1.078,0.0287,2.495,0.2334,0.3417,11.68,7.443e-05,0.1342,0.394,0.000977,0.04514056,0.0120755,0.118031,0.00176952,0.00308127,0.101518,1.5,0.00093126,0.03214436,4.9179e-08,0.00060597,0.122579,0.00379451,0.00228043,4.26e-05,0.00927155,1.345,0.005391,0.04819561,1.717,0.02489802,0.02593225,0.00173996,0.02093986,0.173435,0.106127,0.00050054,0.453694,0.208487,0.01372848,2.29,,,0.004179
14/10/2025,4246.2175,1269.24,206.28,,23.52,1.133,0.029,2.634,0.2325,0.3517,11.84,7.621e-05,0.1333,0.37,0.000961,0.04810774,0.012435,0.116647,0.00172903,0.00306319,0.101457,1.39,0.00094297,0.02943584,4.8166e-08,0.00060323,0.122453,0.00359083,0.00225024,4.325e-05,0.0094605,1.465,0.005777,0.04950526,1.816,0.02634095,0.02474171,0.00164455,0.02078095,0.173493,0.101552,0.00046932,0.493446,0.206523,0.00872036,2.32,,,0.004027
15/10/2025,4128.8884,1217.77,200.04,,22.65,1.147,0.0345,2.448,0.2246,0.3421,11.25,7.418e-05,0.1274,0.3145,0.000945,0.04395229,0.01197673,0.114258,0.00167172,0.0030363,0.096921,1.48,0.00092257,0.02846186,4.6494e-08,0.00060991,0.11175,0.00344967,0.00206488,4.232e-05,0.0090521,1.391,0.006121,0.04630245,1.734,0.02484337,0.02423702,0.00162586,0.02010243,0.166402,0.090866,0.00043118,0.462294,0.19326,0.00904874,2.19,,,0.003975
16/10/2025,3983.1544,1151.0,192.75,,21.81,1.063,0.032975,2.306,0.2142,0.324,10.81,7.025e-05,0.1206,0.2896,0.000887,0.03677837,0.01140685,0.107941,0.00159636,0.00302157,0.099248,1.33,0.00088961,0.02600857,4.4412e-08,0.00059308,0.140177,0.00365678,0.00198483,4.094e-05,0.00900726,1.359,0.00637,0.04381055,1.64,0.02490038,0.02361101,0.00157688,0.02014981,0.159658,0.08438,0.00041431,0.441242,0.177775,0.008092,2.04,,,0.003649
17/10/2025,3890.1993,1154.03,184.05,,20.78,1.021,0.030625,2.209,0.2042,0.3135,10.39,6.73e-05,0.1148,0.2728,0.000851,0.03152847,0.01100613,0.108083,0.00152898,0.00310657,0.098285,1.26,0.00091469,0.02359952,4.3756e-08,0.00057676,0.138679,0.00322062,0.00187564,3.996e-05,0.00858336,1.337,0.00624,0.04294217,1.574,0.02377574,0.02325345,0.00156547,0.01995035,0.155144,0.078522,0.00040045,0.448758,0.164904,0.00690285,1.99,,,0.003427
18/10/2025,3831.2441,1074.98,181.48,,19.8,1.003,0.031075,2.168,0.1932,0.3012,9.89,6.49e-05,0.1116,0.2681,0.000829,0.03002161,0.01052384,0.107714,0.00145227,0.00294279,0.096949,1.082,0.00081971,0.02328839,4.1977e-08,0.00057914,0.136879,0.00272404,0.00181669,3.888e-05,0.00818899,1.315,0.00607,0.04175521,1.541,0.02374023,0.02270152,0.00152296,0.0194793,0.149656,0.070347,0.00039054,0.43053,0.157763,0.00707494,1.84,,,0.003767
19/10/2025,3889.499,1095.89,185.81,,20.06,1.006,0.0303,2.145,0.1927,0.3086,10.24,6.483e-05,0.1139,0.2572,0.000843,0.02847155,0.01089564,0.107228,0.00144632,0.00286264,0.093262,1.18,0.00085584,0.0237871,4.3196e-08,0.00059959,0.137709,0.00294777,0.00186977,4.123e-05,0.00842676,1.36,0.006079,0.04231232,1.555,0.02332637,0.0228352,0.00133959,0.01899218,0.149694,0.069628,0.00039978,0.413903,0.159435,0.00704783,1.85,,,0.003944
20/10/2025,3985.0766,1119.23,189.32,,20.72,1.033,0.03075,2.287,0.1971,0.3196,10.66,6.758e-05,0.1195,0.2903,0.000856,0.02985784,0.01128785,0.104674,0.0015186,0.0029595,0.091923,1.22,0.00086785,0.02317855,4.4242e-08,0.00058963,0.134716,0.00332223,0.00202016,4.198e-05,0.00853684,1.414,0.006198,0.04319362,1.598,0.02394336,0.02304124,0.00120402,0.0191251,0.155394,0.076204,0.00040107,0.392434,0.164492,0.00725855,1.84,,,0.003988
21/10/2025,3954.65,1095.64,187.71,,20.37,1.028,0.030725,2.27,0.1978,0.3199,10.46,8.142e-05,0.1193,0.2769,0.000851,0.02851026,0.01134661,0.100573,0.00152019,0.00294569,0.090394,1.13,0.00087953,0.0237656,4.3463e-08,0.00058314,0.137902,0.00290665,0.00208678,4.284e-05,0.00841169,1.407,0.005971,0.04382269,1.595,0.02366727,0.02262598,0.00121543,0.01913436,0.154003,0.072108,0.00038813,0.392501,0.160576,0.0069309,1.86,0.02077,,0.003911
22/10/2025,3990.58,1088.4,194.03,,20.4,1.07,0.0305,2.306,0.2,0.3273,10.56,7.784e-05,0.1205,0.2588,0.000855,0.03229475,0.01156858,0.100478,0.00150377,0.0029416,0.090052,1.13,0.0008798,0.02288839,4.3396e-08,0.00058164,0.134529,0.0016445,0.00204556,4.761e-05,0.00840679,1.426,0.006157,0.04423038,1.642,0.02362103,0.02209822,0.00116051,0.01897298,0.15154,0.071178,0.00040533,0.419029,0.161154,0.00711013,1.99,0.02077,,0.003615
23/10/2025,3844.39,1074.21,184.77,,19.5,1.006,0.02905,2.213,0.1889,0.3092,10.24,7.228e-05,0.113,0.2438,0.000815,0.03006497,0.01086102,0.096081,0.00137286,0.00276444,0.089533,1.0,0.00086094,0.02218604,4.2104e-08,0.00057389,0.128322,0.00174462,0.00192973,4.512e-05,0.0080964,1.396,0.005716,0.04112801,1.562,0.02456874,0.02025496,0.00106888,0.01894405,0.144654,0.066923,0.00035211,0.39524,0.151217,0.00703884,1.86,0.021983,,0.00369
24/10/2025,3828.36,1116.3,189.03,,19.13,0.999,0.0294,2.187,0.1907,0.3114,10.37,7.336e-05,0.1117,0.2497,0.000816,0.02915377,0.01085198,0.097392,0.00138948,0.00264757,0.089538,1.075,0.00085075,0.02216729,4.2918e-08,0.00056618,0.128321,0.00145201,0.00188673,4.452e-05,0.00792545,1.387,0.00547,0.0400874,1.561,0.02451311,0.01851679,0.00100072,0.0183971,0.137125,0.06333,0.00035187,0.397882,0.147748,0.0062835,1.73,0.02201,,0.004027
25/10/2025,3944.0,1110.26,193.69,,19.61,1.033,0.029325,2.271,0.1956,0.3203,10.73,7.424e-05,0.1145,0.2673,0.000829,0.02953507,0.01112209,0.099465,0.0013805,0.00244505,0.088097,1.12,0.00086407,0.02186035,4.354e-08,0.00056447,0.129001,0.00152234,0.00187032,4.585e-05,0.0081477,1.425,0.005593,0.04170077,1.607,0.02411402,0.01631928,0.00092323,0.01844561,0.142479,0.062792,0.00033564,0.39036,0.151567,0.00572085,1.78,0.0262312,,0.004129
26/10/2025,3944.76,1115.82,194.08,,19.67,1.042,0.0291,2.275,0.2007,0.3202,10.38,7.355e-05,0.1164,0.2605,0.000833,0.02820641,0.01107077,0.099089,0.00136301,0.00249629,0.09057,1.13,0.0008599,0.0217473,4.3325e-08,0.00055919,0.128278,0.00156866,0.00191183,4.688e-05,0.00814654,1.433,0.00554,0.0414875,1.605,0.02421048,0.0150069,0.00103026,0.0182377,0.141765,0.065741,0.00030359,0.379662,0.156362,0.00575459,1.74,0.02803455,,0.004431
27/10/2025,4059.76,1127.07,198.99,,20.28,1.058,0.029525,2.35,0.2048,0.3278,10.62,7.415e-05,0.1183,0.2742,0.000837,0.03089714,0.01138176,0.099656,0.00168707,0.00266462,0.09016,1.14,0.00086413,0.02203501,4.4418e-08,0.0005738,0.128958,0.00170527,0.00194094,4.69e-05,0.00826309,1.464,0.005581,0.04232334,1.624,0.02459471,0.01373553,0.00108255,0.01825563,0.144143,0.065199,0.00030626,0.369564,0.161802,0.00502651,1.78,0.03146386,,0.004805
28/10/2025,4155.6,1144.15,199.84,,20.57,1.049,0.028825,2.351,0.2014,0.3334,10.47,7.399e-05,0.1171,0.2674,0.000831,0.02997828,0.01127071,0.099735,0.00160917,0.00279992,0.090177,1.084,0.00087129,0.02213799,4.5715e-08,0.00057726,0.131287,0.00165086,0.00199778,4.57e-05,0.00827753,1.486,0.005547,0.04223809,1.597,0.02429572,0.01444279,0.00104412,0.01838226,0.140735,0.063748,0.00032655,0.333508,0.164113,0.0045964,1.6,0.02132723,,0.004841
29/10/2025,4114.24,1134.36,199.39,,20.19,1.036,0.0285,2.326,0.201,0.328,10.44,7.243e-05,0.1156,0.2649,0.000826,0.02995279,0.01112194,0.099608,0.00157414,0.0026748,0.090342,1.076,0.00086514,0.02184396,4.3751e-08,0.00057546,0.129905,0.00125578,0.00196014,4.556e-05,0.00813231,1.472,0.005406,0.04171722,1.585,0.02334043,0.01325431,0.0011529,0.01878229,0.137296,0.06348,0.00032833,0.330941,0.158757,0.00457789,1.64,0.01901775,,0.005
30/10/2025,3892.38,1107.03,192.25,,19.86,1.026,0.02805,2.302,0.1979,0.321,10.21,7.367e-05,0.1129,0.267,0.000801,0.0283955,0.01104171,0.096458,0.00144435,0.00250572,0.089598,1.038,0.00082596,0.02108803,4.2238e-08,0.00056942,0.131152,0.00209407,0.00193209,4.55e-05,0.00795237,1.456,0.005414,0.041426,1.556,0.02291654,0.01140795,0.00113484,0.01994659,0.134587,0.068462,0.00030516,0.314843,0.155545,0.00425918,1.51,0.02227777,,0.004771
